DATE,COMREPUSQ159N,Moving_Avg
2005-01-01,15.7244102334155,
2005-04-01,12.1428910402429,
2005-07-01,10.0505340338639,
2005-10-01,13.7152729400618,12.908277061896024
2006-01-01,12.9145790841723,12.205819274585226
2006-04-01,15.9199348306761,13.150080222193525
2006-07-01,13.7944127742732,14.086049907295848
2006-10-01,12.4374525227278,13.76659480296235
2007-01-01,12.516025717404,13.666956461270274
2007-04-01,12.3664108203813,12.778575458696576
2007-07-01,11.776090119189,12.273994794925525
2007-10-01,8.4106650161492,11.267297918280875
2008-01-01,-2.94688241274145,7.401570885744513
2008-04-01,-5.37479390193386,2.9662697051657223
2008-07-01,-9.45836219043297,-2.34234337223977
2008-10-01,-11.2532617130175,-7.258325054531445
2009-01-01,-9.5433457138742,-8.907440879814633
2009-04-01,-26.9541258417129,-14.302273864759393
2009-07-01,-27.3920211012199,-18.785688592456125
2009-10-01,-30.4009423277307,-23.572608746134428
2010-01-01,-23.2826876776176,-27.007444237070274
2010-04-01,0.567560898226817,-20.127022552085343
2010-07-01,2.64523355432446,-12.617708888199255
2010-10-01,11.6952859542004,-2.0936518177164802
2011-01-01,11.8350712569653,6.685787915929245
2011-04-01,1.95889418582911,7.033621237829818
2011-07-01,1.48052897943776,6.742445094108142
2011-10-01,6.50725845459896,5.445438219207782
2012-01-01,2.67630187830391,3.155745874542435
2012-04-01,4.03848247488841,3.67564294680726
2012-07-01,7.55911278510148,5.19528889822319
2012-10-01,2.81354133038593,4.271859617169932
2013-01-01,3.9889582043937,4.60002369869238
2013-04-01,10.2908536148791,6.163116483690052
2013-07-01,15.3067565887953,8.100027434613509
2013-10-01,13.0425064262563,10.6572687085811
2014-01-01,9.93142387628909,12.142885126554948
2014-04-01,9.31666783185355,11.89933868079856
2014-07-01,4.55772493368451,9.212080767020863
2014-10-01,8.24780610899778,8.013405687706232
2015-01-01,15.1136940752594,9.30897323744881
2015-04-01,12.2574927710348,10.044179472244123
2015-07-01,10.0090094532023,11.407000602123569
2015-10-01,5.80488589856781,10.796270549516077
2016-01-01,-0.823680716548121,6.811926851564197
2016-04-01,0.731655706751742,3.9304675854934326
2016-07-01,4.18736172171992,2.4750556526228378
2016-10-01,5.64713039617879,2.435616777025583
2017-01-01,5.85729633546525,4.105861040028926
2017-04-01,9.82176761923229,6.378389018149063
2017-07-01,4.10823367461069,6.358607006371755
2017-10-01,5.35344653167946,6.2851860402469235
2018-01-01,8.21872732822973,6.875543788438043
2018-04-01,0.763274539736252,4.610920518564034
2018-07-01,3.20723035486888,4.385669688628581
2018-10-01,0.153266044000267,3.085624566708783
2019-01-01,3.77437978986855,1.9745376821184877
2019-04-01,8.0257730077027,3.7901622991101
2019-07-01,6.7840101328849,4.684357243614105
2019-10-01,7.33297441608343,6.479284336634895
2020-01-01,4.20404200864885,6.586699891329971
2020-04-01,-2.7592382947806,3.8904470657091457
2020-07-01,0.037493012665826,2.2038177856543775
2020-10-01,4.18384454705364,1.41653531839693
2021-01-01,3.77594991598459,1.309512295230865
2021-04-01,9.42172024326672,4.354751929742695
2021-07-01,15.1650096423144,8.136631087154838
2021-10-01,15.8466611706512,11.052335243054229
2022-01-01,12.2851173570985,13.179627103332706
2022-04-01,8.87820339768977,13.04374789193847
2022-07-01,2.93485046167683,9.986208096779075
2022-10-01,-0.828055393461519,5.8175289557508965
2023-01-01,0.465166311492795,2.86254119434947
2023-04-01,3.07133585169843,1.410824307851635
2023-07-01,-1.33936141776867,0.34227133799025994
2023-10-01,-8.79258085626701,-1.648860027711113
2024-01-01,-8.92543472536121,-3.9965102869246145
