"DailyVintage","Year","Month","BusinessApplications","ConstructionSpending","DurableGoodsNewOrders","InternationalTrade_Exports","InternationalTrade_Imports","ManuInventories","ManuNewOrders","NewHomesForSale","NewHomesSold","ResConstPermits","ResConstUnitsCompleted","ResConstUnitsStarted","RetailInventories","SalesForRetailAndFood","WholesaleInventories"
"10_10_2024",2024,9,426170,2136577.47,289204.0876,269672.141,342315.1303,861421.6013,588988.1,472.0659751,739.9755576,1450.518379,1770.279803,1270.007574,818725.0686,708239.6701,907476.4854
"10_11_2024",2024,9,426170,2136577.47,289204.0876,269672.141,342315.1303,861421.6013,588988.1,472.0659751,739.9755576,1450.518379,1770.279803,1270.007574,818725.0686,708239.6701,907476.4854
"10_15_2024",2024,9,426170,2136577.47,289204.0876,269672.141,342315.1303,861421.6013,588988.1,472.0659751,739.9755576,1450.518379,1770.279803,1270.007574,818725.0686,708239.6701,907476.4854
"10_16_2024",2024,9,426170,2136577.47,289204.0876,269672.141,342315.1303,861421.6013,588988.1,472.0659751,739.9755576,1450.518379,1770.279803,1270.007574,818725.0686,708239.6701,907476.4854
"10_17_2024",2024,9,426170,2140433.725,289307.9689,270659.4004,343587.0168,861685.6519,590674.9939,472.0691156,748.5327969,1468.657253,1774.873837,1286.93211,818937.5213,714358,907486.0088
"10_18_2024",2024,9,426170,2136816.451,290894.1289,270834.8424,343867.9054,861572.3216,592466.7259,471.7528343,747.7381349,1428,1680,1354,818231.8639,714358,907090.6495
"10_21_2024",2024,9,426170,2136816.451,290894.1289,270834.8424,343867.9054,861572.3216,592466.7259,471.7528343,747.7381349,1428,1680,1354,818231.8639,714358,907090.6495
"10_22_2024",2024,9,426170,2136816.451,290894.1289,270834.8424,343867.9054,861572.3216,592466.7259,471.7528343,747.7381349,1428,1680,1354,818231.8639,714358,907090.6495
"10_23_2024",2024,9,426170,2136816.451,290894.1289,270834.8424,343867.9054,861572.3216,592466.7259,471.7528343,747.7381349,1428,1680,1354,818231.8639,714358,907090.6495
"10_24_2024",2024,9,426170,2135698.555,290555.9411,270779.5878,343829.7217,861476.8207,592002.2745,470,738,1425,1680,1354,818232.3616,714358,907036.8666
"10_25_2024",2024,9,426170,2134745.985,284769,271495.9709,344886.732,861866.0307,589220.2391,470,738,1425,1680,1354,817841.7179,714358,907125.1849
"10_28_2024",2024,9,426170,2134745.985,284769,271495.9709,344886.732,861866.0307,589220.2391,470,738,1425,1680,1354,817841.7179,714358,907125.1849
"10_29_2024",2024,9,426170,2139880.678,284769,272136.8213,345726.2162,860988.5562,589725.8293,470,738,1425,1680,1354,824316,714358,904972
"10_30_2024",2024,9,426170,2139880.678,284769,272136.8213,345726.2162,860988.5562,589725.8293,470,738,1425,1680,1354,824316,714358,904972
"10_31_2024",2024,9,426170,2139880.678,284769,272136.8213,345726.2162,860988.5562,589725.8293,470,738,1425,1680,1354,824316,714358,904972
"11_01_2024",2024,9,426170,2148805,284769,272239.1282,345660.5046,860977.0844,589756.729,470,738,1425,1680,1354,824316,714358,904972
"11_04_2024",2024,9,426170,2148805,284843,270760.4932,342755.4777,858065,584245,470,738,1425,1680,1354,824316,714358,904972
"11_05_2024",2024,9,426170,2148805,284843,267948,352306,858065,584245,470,738,1425,1680,1354,824316,714358,904972
"11_06_2024",2024,9,426170,2148805,284843,267948,352306,858065,584245,470,738,1425,1680,1354,824316,714358,904972
"11_07_2024",2024,9,426170,2148805,284843,267948,352306,858065,584245,470,738,1425,1680,1354,824316,714358,903703
"11_08_2024",2024,9,426170,2148805,284843,267948,352306,858065,584245,470,738,1425,1680,1354,824316,714358,903703
"11_12_2024",2024,9,426170,2148805,284843,267948,352306,858065,584245,470,738,1425,1680,1354,824316,714358,903703
